query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,geom_quality,fused_score,promote_flag,is_strict_truth_hit
q_014,20,20,s500_x254852.800_y3365263.601,0.6909561157226562,500.0,254852.80039608278,3365263.6009922293,21,4,0.19047619047619047,0.0,0,-1.0,0.0,0.21944444444444444,0.13166666666666665,0,0
q_015,1,3,s200_x253418.902_y3365449.458,0.796332836151123,200.0,253418.9018066581,3365449.4584696507,4,4,1.0,0.0,0,-1.0,0.8823546844574299,0.425,0.607941873782972,0,0
q_015,2,1,s200_x255717.683_y3363562.726,0.8043776750564575,200.0,255717.68346681632,3363562.725988563,10,4,0.4,0.0,0,-1.0,1.0,0.32,0.5920000000000001,0,0
q_015,3,2,s200_x254852.800_y3365113.601,0.7967144846916199,200.0,254852.80039608278,3365113.6009922293,6,4,0.6666666666666666,0.0,0,-1.0,0.8879357984488286,0.36666666666666664,0.5751743193795315,0,1
q_015,4,4,s300_x255767.683_y3363537.726,0.793522298336029,300.0,255767.68346681632,3363537.725988563,8,4,0.5,0.0,0,-1.0,0.8412542209190229,0.3375,0.5390016883676092,0,0
q_015,5,5,s300_x254752.800_y3365163.601,0.7856664657592773,300.0,254752.80039608278,3365163.6009922293,10,4,0.4,0.0,0,-1.0,0.7263728773375219,0.32,0.4825491509350088,0,1
q_015,6,6,s200_x255203.340_y3364183.631,0.7813760042190552,200.0,255203.3403633765,3364183.6312788753,12,4,0.3333333333333333,0.0,0,-1.0,0.6636304523291106,0.30833333333333335,0.45045218093164424,0,0
q_015,7,7,s200_x255717.683_y3363412.726,0.7788728475570679,200.0,255717.68346681632,3363412.725988563,15,4,0.26666666666666666,0.0,0,-1.0,0.6270250387444193,0.29666666666666663,0.42881001549776765,0,0
q_015,8,8,s300_x253393.902_y3365424.458,0.7778893709182739,300.0,253393.9018066581,3365424.4584696507,13,4,0.3076923076923077,0.0,0,-1.0,0.6126429708296797,0.3038461538461539,0.4273648806395642,0,0
q_015,9,9,s200_x255544.480_y3366010.735,0.77474045753479,200.0,255544.479752744,3366010.7347813593,11,4,0.36363636363636365,0.0,0,-1.0,0.5665942042881225,0.3136363636363636,0.4148194998970671,0,0
q_015,10,10,s300_x253908.067_y3364578.442,0.7679774165153503,300.0,253908.06710738334,3364578.4419510043,14,4,0.2857142857142857,0.0,0,-1.0,0.4676935172610964,0.3,0.3670774069044386,0,0
q_015,11,11,s500_x253783.067_y3364678.442,0.765227198600769,500.0,253783.06710738334,3364678.4419510043,16,4,0.25,0.0,0,-1.0,0.4274751538881267,0.29375,0.34724006155525067,0,0
q_015,12,12,s700_x253883.067_y3364778.442,0.7597860097885132,700.0,253883.06710738334,3364778.4419510043,8,4,0.5,0.0,0,-1.0,0.34790483777899034,0.3375,0.34166193511159615,0,0
q_015,13,13,s300_x255253.340_y3364158.631,0.75851970911026,300.0,255253.3403633765,3364158.6312788753,11,4,0.36363636363636365,0.0,0,-1.0,0.32938683578816347,0.3136363636363636,0.3199365524970835,0,0
q_015,14,14,s500_x254158.067_y3364678.442,0.753124475479126,500.0,254158.06710738334,3364678.4419510043,13,4,0.3076923076923077,0.0,0,-1.0,0.2504885544888613,0.3038461538461539,0.2825031141032368,0,0
q_015,15,16,s200_x254702.800_y3365113.601,0.7484048008918762,200.0,254702.80039608278,3365113.6009922293,8,4,0.5,0.0,0,-1.0,0.18146944638626575,0.3375,0.27508777855450633,0,0
q_015,16,15,s300_x254449.835_y3365400.528,0.7501132488250732,300.0,254449.83531152448,3365400.5278006354,11,4,0.36363636363636365,0.0,0,-1.0,0.20645327745536765,0.3136363636363636,0.2707631291639652,0,0
q_015,17,18,s300_x255519.480_y3365985.735,0.7461271286010742,300.0,255519.479752744,3365985.7347813593,8,4,0.5,0.0,0,-1.0,0.14816144873620846,0.3375,0.2617645794944834,0,0
q_015,18,17,s300_x255294.480_y3365760.735,0.7463728785514832,300.0,255294.479752744,3365760.7347813593,12,4,0.3333333333333333,0.0,0,-1.0,0.15175522243393402,0.30833333333333335,0.2457020889735736,0,0
q_015,19,19,s200_x254147.293_y3364207.454,0.7455779314041138,200.0,254147.29280875245,3364207.454095203,13,4,0.3076923076923077,0.0,0,-1.0,0.140130153356426,0.3038461538461539,0.2383597536502627,0,0
q_015,20,20,s700_x253368.902_y3365399.458,0.7359955310821533,700.0,253368.9018066581,3365399.4584696507,8,4,0.5,0.0,0,-1.0,0.0,0.3375,0.2025,0,0
q_016,1,1,s700_x255453.340_y3364133.631,0.8793802261352539,700.0,255453.3403633765,3364133.6312788753,11,4,0.36363636363636365,0.0,0,-1.0,1.0,0.3386363636363637,0.6031818181818183,0,1
q_016,2,2,s500_x254852.800_y3365263.601,0.8766823410987854,500.0,254852.80039608278,3365263.6009922293,13,4,0.3076923076923077,0.0,0,-1.0,0.9230655480239048,0.32884615384615384,0.5665339115172543,0,0
q_016,3,4,s700_x254952.800_y3365363.601,0.8709109425544739,700.0,254952.80039608278,3365363.6009922293,8,4,0.5,0.0,0,-1.0,0.7584850050651673,0.3625,0.520894002026067,0,0
q_016,4,3,s500_x254797.843_y3363202.460,0.8711024522781372,500.0,254797.8429101142,3363202.4603543547,9,4,0.4444444444444444,0.0,0,-1.0,0.7639462072435291,0.3527777777777778,0.5172451495640784,0,0
q_016,5,7,s500_x254699.835_y3365275.528,0.8559275269508362,500.0,254699.83531152448,3365275.5278006354,16,5,0.3125,0.359388530254364,0,-1.0,0.3312092491994316,0.3568649952443802,0.34660269682640077,0,0
q_016,6,6,s500_x255867.683_y3363412.726,0.8573365211486816,500.0,255867.68346681632,3363412.725988563,14,4,0.2857142857142857,0.0,0,-1.0,0.3713889436576627,0.325,0.3435555774630651,0,0
q_016,7,8,s200_x255353.340_y3364033.631,0.8546315431594849,200.0,255353.3403633765,3364033.6312788753,13,4,0.3076923076923077,0.0,0,-1.0,0.2942522249342208,0.32884615384615384,0.3150085822813806,0,0
q_016,8,9,s300_x255253.340_y3364158.631,0.8530592918395996,300.0,255253.3403633765,3364158.6312788753,9,4,0.4444444444444444,0.0,0,-1.0,0.24941699584588295,0.3527777777777778,0.31143346500501984,0,0
q_016,9,11,s500_x255394.480_y3366235.735,0.8509203195571899,500.0,255394.479752744,3366235.7347813593,9,4,0.4444444444444444,0.0,0,-1.0,0.18842082361659743,0.3527777777777778,0.28703499611330563,0,0
q_016,10,10,s500_x253783.067_y3364678.442,0.8525526523590088,500.0,253783.06710738334,3364678.4419510043,16,4,0.25,0.0,0,-1.0,0.23496937103540178,0.31875000000000003,0.2852377484141607,0,0
q_016,11,12,s700_x255967.683_y3363512.726,0.8505027294158936,700.0,255967.68346681632,3363512.725988563,16,4,0.25,0.0,0,-1.0,0.1765125813316291,0.31875000000000003,0.26185503253265163,0,0
q_016,12,16,s500_x255353.340_y3364408.631,0.8479099273681641,500.0,255353.3403633765,3364408.6312788753,8,4,0.5,0.0,0,-1.0,0.10257473671328433,0.3625,0.25852989468531373,0,0
q_016,13,13,s200_x254311.063_y3364966.491,0.850032389163971,200.0,254311.06292971745,3364966.490741796,15,4,0.26666666666666666,0.0,0,-1.0,0.16310008634580475,0.32166666666666666,0.2582400345383219,0,0
q_016,14,14,s300_x254922.843_y3363177.460,0.8496279716491699,300.0,254922.8429101142,3363177.4603543547,14,4,0.2857142857142857,0.0,0,-1.0,0.1515674823059089,0.325,0.25562699292236357,0,0
q_016,15,15,s500_x253741.675_y3363226.329,0.8493974208831787,500.0,253741.6746766661,3363226.329395751,18,4,0.2222222222222222,0.0,0,-1.0,0.144992963156857,0.3138888888888889,0.24633051859607613,0,0
q_016,16,5,s500_x255353.340_y3364033.631,0.8651226162910461,500.0,255353.3403633765,3364033.6312788753,3,0,0.0,,0,-1.0,0.593421741465703,0.0,0.23736869658628124,0,0
