download_request_id,dsm_source_name,crs,request_min_x,request_min_y,request_max_x,request_max_y,primary_candidate_tile_id,raster_path,status
srtm_s200_x254311.063_y3364816.491,srtm,EPSG:32650,253961.062930,3364466.490742,254661.062930,3365166.490742,s200_x254311.063_y3364816.491,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254311.063_y3364816.491.tif,ready
srtm_s200_x254461.063_y3364816.491,srtm,EPSG:32650,254111.062930,3364466.490742,254811.062930,3365166.490742,s200_x254461.063_y3364816.491,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254461.063_y3364816.491.tif,ready
srtm_s500_x254158.067_y3364678.442,srtm,EPSG:32650,253658.067107,3364178.441951,254658.067107,3365178.441951,s500_x254158.067_y3364678.442,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x254158.067_y3364678.442.tif,ready
srtm_s300_x254133.067_y3364578.442,srtm,EPSG:32650,253733.067107,3364178.441951,254533.067107,3364978.441951,s300_x254133.067_y3364578.442,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254133.067_y3364578.442.tif,ready
srtm_s200_x254083.067_y3364528.442,srtm,EPSG:32650,253733.067107,3364178.441951,254433.067107,3364878.441951,s200_x254083.067_y3364528.442,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254083.067_y3364528.442.tif,ready
srtm_s300_x254449.835_y3365625.528,srtm,EPSG:32650,254049.835312,3365225.527801,254849.835312,3366025.527801,s300_x254449.835_y3365625.528,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254449.835_y3365625.528.tif,ready
srtm_s300_x253908.067_y3364578.442,srtm,EPSG:32650,253508.067107,3364178.441951,254308.067107,3364978.441951,s300_x253908.067_y3364578.442,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x253908.067_y3364578.442.tif,ready
srtm_s300_x255294.480_y3365760.735,srtm,EPSG:32650,254894.479753,3365360.734781,255694.479753,3366160.734781,s300_x255294.480_y3365760.735,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x255294.480_y3365760.735.tif,ready
srtm_s300_x255519.480_y3365760.735,srtm,EPSG:32650,255119.479753,3365360.734781,255919.479753,3366160.734781,s300_x255519.480_y3365760.735,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x255519.480_y3365760.735.tif,ready
srtm_s200_x255717.683_y3363562.726,srtm,EPSG:32650,255367.683467,3363212.725989,256067.683467,3363912.725989,s200_x255717.683_y3363562.726,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255717.683_y3363562.726.tif,ready
srtm_s700_x254438.610_y3365984.565,srtm,EPSG:32650,253838.609954,3365384.565272,255038.609954,3366584.565272,s700_x254438.610_y3365984.565,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s700_x254438.610_y3365984.565.tif,ready
srtm_s700_x255494.480_y3365960.735,srtm,EPSG:32650,254894.479753,3365360.734781,256094.479753,3366560.734781,s700_x255494.480_y3365960.735,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s700_x255494.480_y3365960.735.tif,ready
srtm_s200_x255544.480_y3366010.735,srtm,EPSG:32650,255194.479753,3365660.734781,255894.479753,3366360.734781,s200_x255544.480_y3366010.735,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255544.480_y3366010.735.tif,ready
srtm_s700_x254411.063_y3364766.491,srtm,EPSG:32650,253811.062930,3364166.490742,255011.062930,3365366.490742,s700_x254411.063_y3364766.491,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s700_x254411.063_y3364766.491.tif,ready
srtm_s700_x254397.293_y3364157.454,srtm,EPSG:32650,253797.292809,3363557.454095,254997.292809,3364757.454095,s700_x254397.293_y3364157.454,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s700_x254397.293_y3364157.454.tif,ready
srtm_s300_x254766.545_y3365997.637,srtm,EPSG:32650,254366.545408,3365597.637183,255166.545408,3366397.637183,s300_x254766.545_y3365997.637,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s300_x254766.545_y3365997.637.tif,ready
srtm_s200_x255694.480_y3366010.735,srtm,EPSG:32650,255344.479753,3365660.734781,256044.479753,3366360.734781,s200_x255694.480_y3366010.735,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255694.480_y3366010.735.tif,ready
srtm_s200_x255772.413_y3365698.858,srtm,EPSG:32650,255422.412992,3365348.858065,256122.412992,3366048.858065,s200_x255772.413_y3365698.858,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x255772.413_y3365698.858.tif,ready
srtm_s500_x255769.480_y3365860.735,srtm,EPSG:32650,255269.479753,3365360.734781,256269.479753,3366360.734781,s500_x255769.480_y3365860.735,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x255769.480_y3365860.735.tif,ready
srtm_s500_x254311.063_y3364666.491,srtm,EPSG:32650,253811.062930,3364166.490742,254811.062930,3365166.490742,s500_x254311.063_y3364666.491,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s500_x254311.063_y3364666.491.tif,ready
srtm_s200_x254161.063_y3364516.491,srtm,EPSG:32650,253811.062930,3364166.490742,254511.062930,3364866.490742,s200_x254161.063_y3364516.491,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254161.063_y3364516.491.tif,ready
srtm_s200_x254297.293_y3364057.454,srtm,EPSG:32650,253947.292809,3363707.454095,254647.292809,3364407.454095,s200_x254297.293_y3364057.454,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254297.293_y3364057.454.tif,ready
srtm_s200_x254297.293_y3364357.454,srtm,EPSG:32650,253947.292809,3364007.454095,254647.292809,3364707.454095,s200_x254297.293_y3364357.454,/mnt/d/aiproject/imagematch/new2output/pose_v1_formal/dsm_cache/rasters/srtm_s200_x254297.293_y3364357.454.tif,ready
