query_id,candidate_tile_id,raw_rank,global_score,candidate_scale_level_m,match_count,siftgpu_match_score,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,global_score_norm,siftgpu_score_norm,geom_quality,fused_score,promote_flag,is_intersection_truth_hit
q_003,cw_s200_x254833.721_y3365252.517,4,0.6684044599533081,200.000,20,0.2,4,0.2,0.0,0,-1.0,0.4348346485490982,0.18140243902439024,0.12150158844025415,0.24683481248379177,0,0
q_003,cw_s300_x254883.721_y3365227.517,5,0.6517970561981201,300.000,20,0.2,4,0.2,4.31583721365314e-05,0,-1.0,0.3250249374052408,0.18140243902439024,0.1215001914610735,0.20291008983874043,0,0
q_003,cw_s200_x253933.721_y3364502.517,6,0.6494545936584473,200.000,396,0.42424242424242425,168,0.42424242424242425,2.3170552253723145,1,168044.3496114413,0.3095363554065989,0.5881836659275683,0.5060502804225904,0.5274447104161938,0,0
q_003,cw_s300_x254208.721_y3365002.517,7,0.6434161067008972,300.000,40,0.1,4,0.1,6.103515625e-05,0,-1.0,0.26960931332770804,0.0,0.09085936891087769,0.16235934667760982,0,0
q_003,cw_s200_x254083.721_y3364652.517,8,0.6425302028656006,200.000,258,0.35271317829457366,91,0.35271317829457366,1.9388917684555054,1,91036.85955784394,0.263751634084812,0.4584278691624125,0.3572863424808343,0.4198724591224253,0,0
q_003,cw_s200_x254683.721_y3365252.517,9,0.6424623131752014,200.000,31,0.12903225806451613,4,0.12903225806451613,6.103515625e-05,0,-1.0,0.26330274108490226,0.05266522423288747,0.09975492359223095,0.1651740505892995,0,0
q_003,cw_s300_x254208.721_y3365227.517,10,0.6399133801460266,300.000,36,0.1388888888888889,5,0.1388888888888889,0.0,0,-1.0,0.24644895684597296,0.07054539295392953,0.10361733107877297,0.16074998138565297,0,0
q_003,cw_s200_x254233.721_y3364952.517,11,0.6317125558853149,200.000,24,0.16666666666666666,4,0.16666666666666666,3.814697265625e-06,0,-1.0,0.19222433772518052,0.12093495934959346,0.11128805032942421,0.14366256528772675,0,0
q_003,cw_s300_x253983.721_y3364327.517,12,0.627357006072998,300.000,147,0.5850340136054422,86,0.5850340136054422,1.810865879058838,1,86062.54287561754,0.16342503388373633,0.8798635307781649,0.49953837826408387,0.4650930405119449,0,0
q_003,cw_s200_x253933.721_y3364802.517,13,0.6229844093322754,200.000,357,0.47619047619047616,170,0.47619047619047616,2.040208101272583,1,170050.34074427967,0.13451301415293812,0.6824186991869918,0.5591679919651442,0.48930600084026177,0,0
q_003,cw_s200_x253933.721_y3364352.517,14,0.6210002899169922,200.000,85,0.4823529411764706,41,0.4823529411764706,1.5852141380310059,1,41051.47360939138,0.12139383049973733,0.6935975609756097,0.37559275836252887,0.3739131872174123,0,0
q_003,cw_s200_x254233.721_y3365252.517,15,0.6200640201568604,200.000,38,0.10526315789473684,4,0.10526315789473684,0.0,0,-1.0,0.11520312703829542,0.00954749679075736,0.09247398895373296,0.10156564418755795,0,0
q_003,cw_s300_x254658.721_y3365227.517,16,0.6155167818069458,300.000,25,0.16,4,0.16,0.0,0,-1.0,0.08513636060887074,0.10884146341463413,0.10924549087927854,0.09960183877111542,0,0
q_003,cw_s500_x254758.721_y3364877.517,17,0.6057528257369995,500.000,15,0.26666666666666666,4,0.26666666666666666,0.0,0,-1.0,0.020576167368119454,0.3023373983739837,0.14192841770854683,0.09338751757237589,0,0
